Tittle,Year Release,MPAA Rating,Duration(minutes),IMDB Score,Metascore,Genre 1,Genre 2,Genre 3,Gross($M)
The Other Guys,2010,PG-13,107,6.6,64,Action,Comedy,Crime,119.22
Warcraft,2016,13+,123,6.8,32,Action,Adventure,Fantasy,47.37
Office Space,1999,R,89,7.7,68,Comedy,NA,NA,10.82
The Fast and the Furious: Tokyo Drift,2006,PG-13,104,6,45,Action,Crime,Thriller,62.51
Seven Psychopaths,2012,R,110,7.2,66,Comedy,Crime,NA,15.02
The Sting,1973,NA,129,8.3,83,Comedy,Crime,Drama,159.6
The Grey,2011,R,117,6.8,64,Action,Adventure,Drama,51.58
Total Recall,I 2012,PG-13,118,6.3,43,Action,Adventure,Sci-Fi,58.88
Blow,2001,R,124,7.6,52,Biography,Crime,Drama,52.99
Chronicle,2012,PG-13,89,7,69,Drama,Sci-Fi,Thriller,64.58
Marriage Story,2019,R,137,8,94,Comedy,Drama,Romance,2
American Pie 2,2001,R,108,6.4,43,Comedy,NA,NA,145.1
Bad Boys,1995,R,119,6.9,41,Action,Comedy,Crime,65.81
Dances with Wolves,1990,NA,181,8,72,Adventure,Drama,Western,184.21
Grease,1978,PG,110,7.2,70,Musical,Romance,NA,188.76
Changeling,2008,R,141,7.7,63,Biography,Crime,Drama,35.74
Finding Dory,2016,SU,97,7.3,77,Animation,Adventure,Comedy,486.3
GoldenEye,1995,PG-13,130,7.2,65,Action,Adventure,Thriller,106.6
Rush Hour,1998,PG-13,98,7,60,Action,Comedy,Crime,141.15
Boogie Nights,1997,R,155,7.9,85,Drama,NA,NA,26.4
Lady Bird,2017,17+,94,7.4,94,Comedy,Drama,NA,48.96
True Lies,1994,R,141,7.2,63,Action,Adventure,Comedy,146.28
The Little Mermaid,1989,NA,83,7.6,88,Animation,Family,Fantasy,111.54
Battleship,2012,R,131,5.8,41,Action,Adventure,Sci-Fi,65.42
Hereditary,2018,17+,127,7.3,87,Drama,Horror,Mystery,44.07
Lethal Weapon,1987,NA,109,7.6,68,Action,Crime,Thriller,65.21
Nocturnal Animals,2016,R,116,7.5,67,Drama,Thriller,NA,10.64
RocknRolla,2008,R,114,7.3,53,Action,Crime,Thriller,5.69
Rango,2011,PG,107,7.2,75,Animation,Adventure,Comedy,123.48
Sully,2016,13+,96,7.4,74,Biography,Drama,NA,125.07
Dog Day Afternoon,1975,NA,125,8,86,Biography,Crime,Drama,50
Paul,2011,R,104,7,57,Adventure,Comedy,Sci-Fi,37.41
Batman Forever,1995,PG-13,121,5.4,51,Action,Adventure,NA,184.03
Perfume: The Story of a Murderer,2006,21+,147,7.5,56,Crime,Drama,NA,2.22
Before Sunset,2004,R,80,8.1,90,Drama,Romance,NA,5.82
The Greatest Showman,2017,13+,105,7.6,48,Biography,Drama,Musical,174.34
Crank,2006,R,88,6.9,57,Action,Crime,Thriller,27.83
A Few Good Men,1992,R,138,7.7,62,Drama,Thriller,NA,141.34
Dawn of the Dead,2004,R,101,7.3,59,Action,Horror,NA,59.02
Batman & Robin,1997,PG-13,125,3.8,28,Action,Sci-Fi,NA,107.33
Hook,1991,SU,142,6.8,52,Adventure,Comedy,Family,119.65
Walk the Line,2005,PG-13,136,7.8,72,Biography,Drama,Music,119.52
Sunshine,2007,R,107,7.2,64,Sci-Fi,Thriller,NA,3.68
The Descendants,2011,R,115,7.3,84,Comedy,Drama,NA,82.58
Saw II,2005,D,93,6.6,40,Horror,Mystery,NA,87.04
Halloween,1978,NA,91,7.8,87,Horror,Thriller,NA,47
Hotaru no haka,1988,NA,89,8.5,94,Animation,Drama,War,NA
RoboCop,1987,NA,102,7.5,67,Action,Crime,Sci-Fi,53.42
The Blair Witch Project,1999,R,81,6.5,81,Horror,Mystery,NA,140.54
Scary Movie,2000,R,88,6.2,48,Comedy,NA,NA,157.02
Bad Boys II,2003,R,147,6.6,38,Action,Comedy,Crime,138.61
The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,115,5.5,52,Adventure,Drama,Fantasy,292.3
Das Boot,1981,R,149,8.3,86,Adventure,Drama,Thriller,11.49
The Artist,I 2011,PG-13,100,7.9,89,Comedy,Drama,Romance,44.67
The Reader,2008,R,124,7.6,58,Drama,Romance,NA,34.19
The Bucket List,2007,PG-13,97,7.4,42,Adventure,Comedy,Drama,93.47
Sucker Punch,2011,PG-13,110,6,33,Action,Adventure,Fantasy,36.39
Chappie,2015,R,120,6.8,41,Action,Crime,Drama,31.57
Spy,2015,R,120,7,75,Action,Comedy,NA,110.83
Final Destination,2000,R,98,6.7,36,Horror,Thriller,NA,53.33
21,2008,PG-13,123,6.8,48,Crime,Drama,History,81.16
Dodgeball: A True Underdog Story,2004,PG-13,92,6.7,55,Comedy,Sport,NA,114.33
Don Jon,2013,R,90,6.5,66,Comedy,Drama,Romance,24.48
Nuovo Cinema Paradiso,1988,R,155,8.5,80,Drama,NA,NA,11.99
Alien: Resurrection,1997,R,109,6.2,63,Action,Horror,Sci-Fi,47.75
Valkyrie,2008,PG-13,121,7.1,56,Drama,History,Thriller,83.08
The Fountain,2006,PG-13,97,7.2,51,Drama,Mystery,Romance,10.14
Grown Ups,I 2010,PG-13,102,5.9,30,Comedy,NA,NA,162
End of Watch,2012,R,109,7.6,68,Action,Crime,Drama,41
Lawless,2012,R,116,7.3,58,Crime,Drama,NA,37.4
I Am Number Four,2011,PG-13,111,6.1,36,Action,Adventure,Sci-Fi,55.1
The Twilight Saga: Eclipse,2010,PG-13,124,5,58,Drama,Fantasy,Romance,300.53
Megamind,2010,PG,95,7.2,63,Animation,Action,Comedy,148.42
Eastern Promises,2007,R,100,7.6,82,Action,Crime,Drama,17.11
The Boondock Saints,1999,R,108,7.8,44,Action,Crime,Thriller,0.03
Star Trek Beyond,2016,13+,122,7.1,68,Action,Adventure,Sci-Fi,158.85
Escape Plan,2013,R,115,6.7,49,Action,Thriller,NA,25.13
Enemy of the State,1998,R,132,7.3,67,Action,Thriller,NA,111.55
Identity,2003,R,90,7.3,64,Mystery,Thriller,NA,52.16
War for the Planet of the Apes,2017,13+,140,7.4,82,Action,Adventure,Drama,146.88
Pitch Black,2000,R,109,7.1,49,Action,Horror,Sci-Fi,39.24
First Blood,1982,NA,93,7.7,61,Action,Adventure,NA,47.21
Alita: Battle Angel,2019,13+,122,7.3,53,Action,Adventure,Sci-Fi,85.71
21 Grams,2003,R,124,7.6,70,Crime,Drama,Thriller,16.29
The Conjuring 2,2016,R,134,7.3,65,Horror,Mystery,Thriller,102.47
Aladdin,2019,13+,128,7,53,Adventure,Family,Fantasy,355.56
The Great Escape,1963,NA,172,8.2,86,Adventure,Drama,History,12.1
Bridget Jones's Diary,2001,R,97,6.7,66,Comedy,Drama,Romance,71.54
The Tourist,I 2010,PG-13,103,6,37,Action,Romance,Thriller,67.63
A History of Violence,2005,D,96,7.4,81,Drama,Thriller,NA,31.49
The Twilight Saga: Breaking Dawn - Part 1,2011,PG-13,117,4.9,45,Adventure,Drama,Fantasy,281.29
Hotel Transylvania,2012,PG,91,7.1,47,Animation,Comedy,Family,148.31
Philadelphia,1993,PG-13,125,7.7,66,Drama,NA,NA,77.32
Ghost Rider,2007,PG-13,110,5.2,35,Action,Fantasy,Thriller,115.8
Ender's Game,2013,PG-13,114,6.6,51,Action,Adventure,Fantasy,61.74
The Road,I 2009,R,111,7.2,64,Drama,NA,NA,0.06
Amores perros,2000,R,154,8.1,83,Drama,Thriller,NA,5.38
Ice Age: Dawn of the Dinosaurs,2009,PG,94,6.9,50,Animation,Adventure,Comedy,196.57
The Beach,I 2000,R,119,6.7,43,Adventure,Drama,Romance,39.79
"Me, Myself & Irene",2000,R,116,6.6,49,Comedy,NA,NA,90.57
Us,II 2019,17+,116,6.9,81,Horror,Mystery,Thriller,175.08
The Lone Ranger,2013,PG-13,150,6.4,37,Action,Adventure,Western,89.3
Sinister,I 2012,R,110,6.8,53,Horror,Mystery,Thriller,48.09
Austin Powers: International Man of Mystery,1997,PG-13,94,7,51,Adventure,Comedy,NA,53.88
Just Go with It,2011,PG-13,117,6.4,33,Comedy,Romance,NA,103.03
Paranormal Activity,2007,R,86,6.3,68,Horror,Mystery,NA,107.92
Disturbia,2007,PG-13,105,6.8,62,Crime,Drama,Mystery,80.21
Knowing,2009,PG-13,121,6.2,41,Action,Drama,Mystery,79.96
Maze Runner: The Scorch Trials,2015,PG-13,131,6.3,43,Action,Adventure,Horror,81.7
Role Models,2008,R,99,6.8,61,Comedy,NA,NA,67.29
Warm Bodies,2013,PG-13,98,6.8,60,Comedy,Horror,Romance,66.38
Don't Breathe,2016,D,88,7.1,71,Crime,Horror,Thriller,89.22
Fantastic Beasts: The Crimes of Grindelwald,2018,13+,134,6.6,52,Adventure,Family,Fantasy,159.56
The Elephant Man,1980,NA,124,8.1,78,Biography,Drama,NA,NA
Stranger Than Fiction,2006,PG-13,113,7.5,67,Comedy,Drama,Fantasy,40.14
Jodaeiye Nader az Simin,2011,PG-13,123,8.3,95,Drama,NA,NA,7.1
Ben-Hur,1959,NA,212,8.1,90,Adventure,Drama,History,74.7
BlacKkKlansman,2018,R,135,7.5,83,Biography,Comedy,Crime,49.28
The Intern,I 2015,PG-13,121,7.1,51,Comedy,Drama,NA,75.76
National Treasure: Book of Secrets,2007,PG,124,6.5,48,Action,Adventure,Mystery,219.96
Rambo,2008,21+,92,7,46,Action,Thriller,NA,42.75
Elf,2003,PG,97,6.9,64,Adventure,Comedy,Family,173.4
Gandhi,1982,NA,191,8,79,Biography,Drama,History,52.77
Singin' in the Rain,1952,G,103,8.3,99,Comedy,Musical,Romance,8.82
Insurgent,2015,PG-13,119,6.2,42,Action,Adventure,Sci-Fi,130.18
Focus,II 2015,R,105,6.6,56,Comedy,Crime,Drama,53.86
Southpaw,2015,R,124,7.4,57,Action,Drama,Sport,52.42
Transcendence,I 2014,PG-13,119,6.3,42,Action,Drama,Sci-Fi,23.02
The Lobster,2015,R,119,7.2,82,Comedy,Drama,Romance,8.7
Austin Powers: The Spy Who Shagged Me,1999,PG-13,95,6.6,59,Action,Adventure,Comedy,206.04
The Adventures of Tintin,2011,PG,107,7.3,68,Animation,Action,Adventure,77.59
Modern Times,1936,NA,87,8.5,96,Comedy,Drama,Family,0.16
RoboCop,2014,PG-13,117,6.1,52,Action,Crime,Sci-Fi,58.61
Natural Born Killers,1994,21+,118,7.3,74,Action,Crime,Drama,50.28
Mr. Nobody,2009,R,141,7.8,63,Drama,Fantasy,Romance,0
The Ides of March,2011,R,101,7.1,67,Drama,Thriller,NA,40.96
Chicago,2002,13+,113,7.1,81,Comedy,Crime,Musical,170.69
Old School,2003,R,88,7.1,54,Comedy,NA,NA,75.59
The Passion of the Christ,2004,21+,127,7.2,47,Drama,NA,NA,370.78
Mamma Mia!,2008,PG-13,108,6.4,51,Comedy,Musical,Romance,144.13
The Chronicles of Riddick,2004,R,119,6.7,38,Action,Adventure,Sci-Fi,57.76
Meet Joe Black,1998,PG-13,178,7.2,43,Drama,Fantasy,Romance,44.62
Kiss Kiss Bang Bang,2005,R,103,7.5,72,Comedy,Crime,Mystery,4.24
Silent Hill,2006,R,125,6.5,31,Action,Adventure,Fantasy,46.98
What's Eating Gilbert Grape,1993,PG-13,118,7.8,73,Drama,NA,NA,9.17
The Lincoln Lawyer,2011,R,118,7.3,63,Crime,Drama,Mystery,58.01
Shakespeare in Love,1998,R,123,7.1,87,Comedy,Drama,History,100.32
Airplane!,1980,NA,88,7.7,78,Comedy,NA,NA,83.4
No Strings Attached,I 2011,R,108,6.2,50,Comedy,Romance,NA,70.66
Thank You for Smoking,2005,R,92,7.6,71,Comedy,Drama,NA,24.79
The Gentlemen,2019,17+,113,7.8,51,Action,Comedy,Crime,NA
Body of Lies,2008,R,128,7.1,57,Action,Drama,Thriller,39.39
Uncut Gems,2019,R,135,7.4,91,Crime,Drama,Thriller,NA
Lion,2016,PG-13,118,8,69,Biography,Drama,NA,51.74
Munich,2005,R,164,7.5,74,Action,Drama,History,47.4
Clerks,1994,R,92,7.7,70,Comedy,NA,NA,3.15
San Andreas,2015,R,114,6.1,43,Action,Adventure,Thriller,155.19
Predators,2010,R,107,6.4,51,Action,Adventure,Family,52
Cube,1997,R,90,7.2,61,Drama,Mystery,Sci-Fi,0.5
Minions,2015,SU,91,6.4,56,Animation,Adventure,Comedy,336.05
Yip Man,2008,R,106,8,59,Action,Biography,Drama,NA
Murder on the Orient Express,2017,13+,114,6.5,52,Crime,Drama,Mystery,102.83
Planet of the Apes,2001,PG-13,119,5.7,50,Action,Adventure,Sci-Fi,180.01
How to Lose a Guy in 10 Days,2003,PG-13,116,6.4,45,Comedy,Romance,NA,105.81
Romeo + Juliet,1996,PG-13,120,6.7,60,Drama,Romance,NA,46.35
Mars Attacks!,1996,PG-13,106,6.3,52,Comedy,Sci-Fi,NA,37.77
It Follows,2014,R,100,6.8,83,Horror,Mystery,Thriller,14.67
Män som hatar kvinnor,2009,R,152,7.8,76,Crime,Drama,Mystery,10.1
Dogma,1999,R,130,7.3,62,Adventure,Comedy,Drama,30.65
Call Me by Your Name,2017,R,132,7.9,93,Drama,Romance,NA,18.1
Jason Bourne,I 2016,PG-13,123,6.6,58,Action,Thriller,NA,162.43
Cowboys & Aliens,2011,PG-13,119,6,50,Action,Sci-Fi,Thriller,100.24
The Lion King,2019,SU,118,6.9,55,Animation,Adventure,Drama,543.64
Garden State,2004,R,102,7.4,67,Comedy,Drama,Romance,26.78
Daredevil,2003,PG-13,103,5.3,42,Action,Crime,NA,102.54
Life,I 2017,13+,104,6.6,54,Horror,Sci-Fi,Thriller,30.23
Gangster Squad,2013,R,113,6.7,40,Action,Crime,Drama,46
Me Before You,2016,PG-13,106,7.4,51,Drama,Romance,NA,56.25
A Nightmare on Elm Street,1984,NA,91,7.5,76,Horror,NA,NA,25.5
True Romance,1993,17+,119,7.9,59,Crime,Drama,Romance,12.28
White House Down,2013,PG-13,131,6.4,52,Action,Drama,Thriller,73.1
Match Point,2005,R,124,7.6,72,Drama,Romance,Thriller,23.09
Rio,2011,NA,96,6.9,63,Animation,Adventure,Comedy,143.62
Safe House,2012,R,115,6.7,52,Action,Thriller,NA,126.37
Låt den rätte komma in,2008,R,114,7.9,82,Crime,Drama,Fantasy,2.12
Glass,2019,13+,129,6.7,43,Drama,Sci-Fi,Thriller,111.05
Game Night,I 2018,17+,100,6.9,66,Action,Comedy,Crime,69.18
Hercules,1997,NA,93,7.3,74,Animation,Adventure,Comedy,99.05
How the Grinch Stole Christmas,2000,PG,104,6.2,46,Comedy,Family,Fantasy,260.04
Die Another Day,2002,PG-13,133,6.1,56,Action,Adventure,Thriller,160.94
Madagascar: Escape 2 Africa,2008,PG,89,6.6,61,Animation,Adventure,Comedy,180.01
The Ugly Truth,2009,R,96,6.4,28,Comedy,Romance,NA,88.92
Cloudy with a Chance of Meatballs,2009,PG,90,6.9,66,Animation,Adventure,Comedy,124.87
It Chapter Two,2019,17+,169,6.5,58,Drama,Fantasy,Horror,211.59
Rocky Balboa,2006,PG,102,7.1,63,Action,Drama,Sport,70.27
Get Smart,2008,PG-13,110,6.5,54,Action,Adventure,Comedy,130.32
Ghostbusters,2016,13+,117,6.6,60,Action,Comedy,Fantasy,128.34
The Fate of the Furious,2017,17+,136,6.7,56,Action,Adventure,Crime,226.01
Anger Management,2003,PG-13,106,6.3,52,Comedy,NA,NA,135.65
Closer,I 2004,D,104,7.2,65,Drama,Romance,NA,33.99
American Reunion,2012,R,113,6.7,49,Comedy,NA,NA,57.01
Tarzan,1999,G,88,7.3,79,Animation,Adventure,Family,171.09
Hell or High Water,II 2016,R,102,7.6,88,Action,Crime,Drama,26.86
The Bridge on the River Kwai,1957,PG,161,8.1,87,Adventure,Drama,War,44.91
Ace Ventura: When Nature Calls,1995,PG-13,90,6.4,45,Adventure,Comedy,Crime,108.39
The Sound of Music,1965,NA,172,8,63,Biography,Drama,Family,163.21
The Purge,I 2013,R,85,5.7,41,Horror,Thriller,NA,64.47
The Great Dictator,1940,NA,125,8.4,NA,Comedy,Drama,War,0.29
Dirty Dancing,1987,NA,100,7,65,Drama,Music,Romance,0.62
Butch Cassidy and the Sundance Kid,1969,PG,110,8,66,Biography,Crime,Drama,102.31
Master and Commander: The Far Side of the World,2003,PG-13,138,7.4,81,Action,Adventure,Drama,93.93
The Girl Next Door,2004,R,109,6.7,47,Comedy,Drama,Romance,14.59
The Descent,2005,R,99,7.2,71,Adventure,Horror,Thriller,26.02
Teenage Mutant Ninja Turtles,2014,PG-13,101,5.8,31,Action,Adventure,Comedy,191.2
Wind River,2017,17+,107,7.7,73,Crime,Drama,Mystery,33.8
Pain & Gain,2013,R,129,6.4,45,Action,Comedy,Crime,49.88
Sunset Blvd.,1950,NA,110,8.4,NA,Drama,Film-Noir,NA,NA
Carlito's Way,1993,R,144,7.9,65,Crime,Drama,Thriller,36.95
P.S. I Love You,2007,PG-13,126,7,39,Comedy,Drama,Romance,53.7
Planet Terror,2007,NA,105,7.1,NA,Action,Adventure,Comedy,NA
Blade II,2002,R,117,6.7,52,Action,Fantasy,Horror,82.35
Rush Hour 2,2001,PG-13,90,6.6,48,Action,Comedy,Crime,226.16
Big Daddy,1999,PG-13,93,6.4,41,Comedy,Drama,NA,163.48
Lo imposible,2012,PG-13,114,7.6,73,Drama,History,Thriller,19.02
Oz the Great and Powerful,2013,PG,130,6.3,44,Adventure,Family,Fantasy,234.91
A Walk to Remember,2002,PG,101,7.4,35,Drama,Romance,NA,41.23
G.I. Joe: The Rise of Cobra,2009,PG-13,118,5.8,32,Action,Adventure,Sci-Fi,152.27
Finding Neverland,2004,PG,106,7.7,67,Biography,Drama,Family,51.68
Hidden Figures,2016,13+,127,7.8,74,Biography,Drama,History,169.61
A Good Day to Die Hard,2013,R,98,5.3,28,Action,Thriller,NA,67.35
Death Race,2008,R,105,6.4,43,Action,Sci-Fi,Thriller,36.32
Napoleon Dynamite,2004,PG,96,6.9,64,Comedy,NA,NA,44.54
Lara Croft: Tomb Raider,2001,PG-13,100,5.8,33,Action,Adventure,Fantasy,131.14
Toy Story 4,2019,SU,100,7.8,84,Animation,Adventure,Comedy,434.04
The VVitch: A New-England Folktale,2015,R,92,6.9,83,Drama,Horror,Mystery,25.14
Big,1988,NA,104,7.3,73,Comedy,Drama,Fantasy,114.97
Remember the Titans,2000,PG,113,7.8,48,Biography,Drama,Sport,115.65
Fantastic Mr. Fox,2009,SU,87,7.9,83,Animation,Adventure,Comedy,21
Per un pugno di dollari,1964,R,99,8,65,Action,Drama,Western,14.5
Coraline,2009,PG,100,7.7,80,Animation,Drama,Family,75.29
Gremlins,1984,NA,106,7.3,70,Comedy,Fantasy,Horror,148.17
Ghost,1990,NA,127,7.1,52,Drama,Fantasy,Romance,217.63
Happy Gilmore,1996,PG-13,92,7,31,Comedy,Sport,NA,38.62
Everest,2015,PG-13,121,7.1,64,Action,Adventure,Biography,43.48
Revolutionary Road,2008,R,119,7.3,69,Drama,Romance,NA,22.91
2 Guns,2013,R,109,6.7,55,Action,Crime,Thriller,75.61
A Series of Unfortunate Events,2004,PG,108,6.8,62,Adventure,Comedy,Family,118.63
The Babadook,2014,NA,94,6.8,86,Drama,Horror,NA,0.92
The Happening,2008,R,91,5,34,Drama,Mystery,Sci-Fi,64.51
Traffic,2000,R,147,7.6,86,Crime,Drama,Thriller,124.12
Austin Powers in Goldmember,2002,PG-13,94,6.2,62,Action,Adventure,Comedy,213.31
Ghost in the Shell,2017,13+,107,6.3,52,Action,Crime,Drama,40.56
Hansel & Gretel: Witch Hunters,2013,R,88,6.1,23,Action,Fantasy,Horror,55.7
Ad Astra,2019,13+,123,6.5,80,Adventure,Drama,Mystery,35.4
EuroTrip,2004,R,92,6.6,45,Comedy,NA,NA,17.72
American Wedding,2003,R,96,6.3,43,Comedy,NA,NA,104.57
When Harry Met Sally...,1989,NA,95,7.6,76,Comedy,Drama,Romance,92.82
Chef,2014,R,114,7.3,68,Adventure,Comedy,Drama,30.64
"I Love You, Man",2009,R,105,7,70,Comedy,Romance,NA,71.44
You've Got Mail,1998,PG,119,6.7,57,Comedy,Drama,Romance,115.82
The Chronicles of Narnia: Prince Caspian,2008,PG,150,6.5,62,Action,Adventure,Family,141.62
Midsommar,2019,21+,148,7.1,72,Drama,Horror,Mystery,27.33
The Number 23,2007,R,98,6.4,NA,Crime,Mystery,Thriller,35.19
Bad Teacher,2011,R,92,5.6,47,Comedy,Romance,NA,100.29
Rosemary's Baby,1968,NA,137,8,96,Drama,Horror,NA,NA
"South Park: Bigger, Longer & Uncut",1999,R,81,7.7,73,Animation,Comedy,Fantasy,52.04
Dracula,1992,R,128,7.4,57,Horror,NA,NA,82.52
El secreto de sus ojos,2009,R,129,8.2,80,Drama,Mystery,Romance,6.39
Blue Jasmine,2013,PG-13,98,7.3,78,Drama,NA,NA,33.41
After Earth,2013,PG-13,100,4.8,33,Action,Adventure,Sci-Fi,60.52
What Women Want,2000,PG-13,127,6.4,47,Comedy,Fantasy,Romance,182.81
Transporter 2,2005,D,87,6.3,56,Action,Crime,Thriller,43.1
Mad Max,1979,NA,88,6.9,73,Action,Adventure,Sci-Fi,8.75
Rocky II,1979,NA,119,7.3,61,Drama,Sport,NA,6.39
Ice Age: Continental Drift,2012,PG,88,6.6,49,Animation,Adventure,Comedy,161.32
King Arthur: Legend of the Sword,2017,17+,126,6.7,41,Action,Adventure,Drama,39.18
You Don't Mess with the Zohan,2008,PG-13,113,5.5,54,Comedy,NA,NA,100.02
Orphan,2009,R,123,6.9,42,Horror,Mystery,Thriller,41.6
Machete,2010,R,105,6.6,60,Action,Crime,Family,26.59
Hanna,2011,PG-13,111,6.8,65,Action,Drama,Thriller,40.26
The Croods,2013,PG,98,7.2,55,Animation,Adventure,Comedy,187.17
Serbuan maut,2011,D,101,7.6,73,Action,Thriller,NA,4.11
Underworld: Evolution,2006,R,106,6.7,36,Action,Fantasy,Thriller,62.32
Mother!,2017,17+,121,6.6,75,Drama,Horror,Mystery,17.8
The Boy in the Striped Pyjamas,2008,PG-13,94,7.8,55,Drama,War,NA,9.03
Tomb Raider,2018,13+,119,6.3,48,Action,Adventure,Fantasy,58.25
The Internship,2013,PG-13,119,6.3,42,Comedy,NA,NA,44.67
Bolt,2008,PG,96,6.8,67,Animation,Adventure,Comedy,114.05
Kimi no na wa.,2016,13+,106,8.4,79,Animation,Drama,Fantasy,5.02
Project X,2012,R,88,6.6,48,Comedy,NA,NA,54.73
Lola rennt,1998,R,81,7.6,77,Crime,Drama,Thriller,7.27
The World Is Not Enough,1999,PG-13,128,6.4,57,Action,Adventure,Crime,126.94
Drag Me to Hell,2009,PG-13,99,6.5,83,Horror,Thriller,NA,42.1
Dark City,1998,R,100,7.6,66,Mystery,Sci-Fi,Thriller,14.38
Primal Fear,1996,R,129,7.7,47,Crime,Drama,Mystery,56.12
Brazil,1985,R,132,7.9,84,Drama,Sci-Fi,NA,9.93
Captain Fantastic,2016,R,118,7.9,72,Comedy,Drama,NA,5.88
The Evil Dead,1981,NC-17,85,7.5,71,Horror,NA,NA,2.4
Miss Congeniality,2000,PG-13,109,6.2,43,Action,Comedy,Crime,106.81
Fracture,2007,R,113,7.2,68,Crime,Drama,Thriller,39.02
The Hitchhiker's Guide to the Galaxy,2005,PG,109,6.8,63,Adventure,Comedy,Sci-Fi,51.09
Tinker Tailor Soldier Spy,2011,R,122,7,85,Drama,Mystery,Thriller,24.15
The Karate Kid,1984,NA,126,7.3,60,Action,Drama,Family,90.82
Rocky IV,1985,NA,91,6.9,40,Drama,Sport,NA,127.87
Sleepers,1996,R,147,7.6,49,Crime,Drama,Thriller,49.1
Resident Evil: Apocalypse,2004,R,94,6.2,35,Action,Horror,Sci-Fi,51.2
The Taking of Pelham 123,2009,R,106,6.4,55,Action,Crime,Thriller,65.45
The Hitman's Bodyguard,2017,17+,118,6.9,47,Action,Comedy,Crime,75.47
Assassin's Creed,2016,PG-13,115,5.7,36,Action,Adventure,Sci-Fi,54.65
Unstoppable,2010,PG-13,98,6.8,69,Action,Thriller,NA,81.56
AVP: Alien vs. Predator,2004,PG-13,101,5.6,29,Action,Adventure,Horror,80.28
The Magnificent Seven,2016,PG-13,132,6.9,54,Action,Adventure,Western,93.43
Legally Blonde,2001,NA,96,6.3,59,Comedy,Romance,NA,96.52
Close Encounters of the Third Kind,1977,NA,138,7.6,90,Drama,Sci-Fi,NA,132.09
Ted 2,2015,R,115,6.3,48,Comedy,NA,NA,81.48
The Vow,2012,PG-13,104,6.8,43,Drama,Romance,NA,125.01
Tenet,2020,PG-13,150,7.7,69,Action,Sci-Fi,NA,53.8
Blue Valentine,2010,R,112,7.4,81,Drama,Romance,NA,9.74
Shrek Forever After,2010,SU,93,6.3,58,Animation,Adventure,Comedy,238.37
Ocean's Eight,2018,17+,110,6.9,61,Action,Comedy,Crime,140.22
Misery,1990,NA,107,7.8,75,Drama,Thriller,NA,61.28
Resident Evil: Extinction,2007,R,94,6.3,41,Action,Horror,Sci-Fi,50.65
Clueless,1995,PG-13,97,6.8,68,Comedy,Romance,NA,56.63
Shame,2011,NC-17,101,7.2,72,Drama,NA,NA,4
Ghostbusters II,1989,NA,108,6.6,56,Action,Comedy,Fantasy,112.49
The Secret Life of Pets,2016,SU,87,6.5,61,Animation,Adventure,Comedy,368.38
The Blues Brothers,1980,NA,133,7.9,60,Action,Adventure,Comedy,57.23
Secret Window,2004,PG-13,96,6.6,46,Drama,Mystery,Thriller,48.02
Godzilla,I 1998,PG-13,139,5.4,32,Action,Sci-Fi,Thriller,136.31
Jumanji: The Next Level,2019,PG-13,123,6.7,58,Action,Adventure,Comedy,316.83
The Next Three Days,2010,PG-13,133,7.4,52,Action,Crime,Drama,21.15
Harold & Kumar Go to White Castle,2004,R,88,7.1,64,Adventure,Comedy,NA,18.23
Who Framed Roger Rabbit,1988,NA,104,7.7,83,Animation,Adventure,Comedy,156.45
Wrath of the Titans,2012,PG-13,99,5.7,37,Action,Adventure,Fantasy,83.67
The Talented Mr. Ripley,1999,R,139,7.4,76,Crime,Drama,Thriller,81.3
Tomorrow Never Dies,1997,PG-13,119,6.5,52,Action,Adventure,Thriller,125.33
Snow White and the Seven Dwarfs,1937,Approved,83,7.6,95,Animation,Family,Fantasy,184.93
Love & Other Drugs,2010,R,112,6.7,55,Comedy,Drama,Romance,32.37
Blue Velvet,1986,NA,120,7.7,76,Drama,Mystery,Thriller,8.55
Waterworld,1995,PG-13,135,6.2,56,Action,Adventure,Sci-Fi,88.25
Side Effects,I 2013,R,106,7.1,75,Crime,Drama,Mystery,32.17
El Camino: A Breaking Bad Movie,2019,NA,122,7.3,72,Action,Crime,Drama,NA
The Hunt for Red October,1990,NA,135,7.6,58,Action,Adventure,Thriller,122.01
Knight and Day,2010,PG-13,109,6.3,46,Action,Adventure,Comedy,76.42
The Darjeeling Limited,2007,R,91,7.2,67,Adventure,Comedy,Drama,11.9
Air Force One,1997,17+,124,6.5,61,Action,Drama,Thriller,172.96
Sideways,2004,D,127,7.5,94,Comedy,Drama,Romance,71.5
The Life Aquatic with Steve Zissou,2004,R,119,7.3,62,Action,Adventure,Comedy,24.01
"I, Tonya",2017,13+,119,7.5,77,Biography,Comedy,Drama,30.01
The Emperor's New Groove,2000,NA,78,7.4,70,Animation,Adventure,Comedy,89.3
The Golden Compass,2007,PG-13,113,6.1,51,Adventure,Family,Fantasy,70.11
Cruel Intentions,1999,R,97,6.8,56,Drama,Romance,NA,38.33
17 Again,2009,PG-13,102,6.3,48,Comedy,Drama,Fantasy,64.17
Straight Outta Compton,2015,R,147,7.8,72,Biography,Drama,History,161.2
Jupiter Ascending,2015,PG-13,127,5.3,40,Action,Adventure,Sci-Fi,47.39
Taken 3,2014,PG-13,108,6,26,Action,Thriller,NA,89.26
